Scaffold ID,Scaffold Original ID,Scaffold Name,IMG Genome ID (IMG Taxon ID),Genome Name / Sample Name,Scaffold Topology,NCBI Molecular Type,Scaffold Gene Count,Scaffold Nucleotide Length (bp),Scaffold GC Content,Scaffold Read Depth,NCBI Domain,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,NCBI Species,NCBI Lineage,NCBI Lineage Percentage,GTDB Domain,GTDB Phylum,GTDB Class,GTDB Order,GTDB Family,GTDB Genus,GTDB Species,GTDB Lineage,GTDB Lineage Percentage,In MetaBAT Bins,MetaBAT Bins,In EukCC Bins,EukCC Bins,Topology,vOTU,Viral Lineage,Quality,Completeness,High Confidence,Predicted Host Lineage,UViG ID,UViG Count,Topology,pOTU,MPF,Source,geNomad Score,Predicted Host Lineage,Plasmid ID,Plasmid Count,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Specific Ecosystem,Habitat,Host Name
640069317,,Methanocorpusculum labreanum Z: NC_008942,640069317,Methanocorpusculum labreanum Z,circular,chromosome,1830,1804962,50.01,,Archaea,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Archaea; Methanobacteriota; Methanomicrobia; Methanomicrobiales; Methanocorpusculaceae; Methanocorpusculum; Methanocorpusculum labreanum,,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanocorpusculaceae; Methanocorpusculum; Methanocorpusculum labreanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640069331,,Methanoculleus marisnigri JR1: NC_009051,640069318,"Methanoculleus marisnigri JR1, DSM 1498",circular,chromosome,2560,2478101,62.06,,Archaea,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus marisnigri,Archaea; Methanobacteriota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanoculleus; Methanoculleus marisnigri,,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus marisnigri,Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanoculleaceae; Methanoculleus; Methanoculleus marisnigri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640069348,,Methanococcus maripaludis C5: NC_009135,640069316,Methanococcus maripaludis C5,circular,chromosome,1887,1780761,33,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis_D,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640427193,,Methanobrevibacter smithii ATCC 35061: NC_009515,640427121,"Methanobrevibacter smithii PS, ATCC 35061",circular,chromosome,1841,1853160,31.03,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter; Methanobrevibacter smithii,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A smithii,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter_A; Methanobrevibacter_A smithii,,,,,,Provirus,vOTU_00685758,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ; ,Medium,85.73,YES,d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A; s__Methanobrevibacter_A smithii,IMGVR_UViG_640427121_000001,1,,,,,,,,,,,,,,,
640753013,,Methanococcus vannielii SB: NC_009634,640753036,Methanococcus vannielii SB,circular,chromosome,1755,1720048,31.33,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus vannielii,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus vannielii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640753014,,Methanococcus aeolicus Nankai-3: NC_009635,640753034,Methanococcus aeolicus Nankai-3,circular,chromosome,1554,1569500,30.04,,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus aeolicus,Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus aeolicus,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus_A,Methanothermococcus_A aeolicus,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanothermococcus_A; Methanothermococcus_A aeolicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640753016,,Methanococcus maripaludis C7: NC_009637,640753035,Methanococcus maripaludis C7,circular,chromosome,1858,1772694,33.28,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis_A,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640753052,,Candidatus Methanoregula boonei 6A8: NC_009712,640753014,Methanoregula boonei 6A8,circular,chromosome,2518,2542943,54.51,,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei,Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanoregulaceae; Methanoregula; Methanoregula boonei,,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei,Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanoregulaceae; Methanoregula; Methanoregula boonei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641228505,,Methanococcus maripaludis C6: NC_009975,641228496,Methanococcus maripaludis C6,circular,chromosome,1874,1744193,33.42,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Unclassified,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643348655,,Candidatus Methanosphaerula palustris E1-9c: NC_011832,643348525,"Methanosphaerula palustris E1-9c, DSM 19958",circular,chromosome,2859,2922917,55.35,,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Methanosphaerula palustris,Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanoregulaceae; Methanosphaerula; Methanosphaerula palustris,,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanosphaerulaceae,Methanosphaerula,Methanosphaerula palustris,Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanosphaerulaceae; Methanosphaerula; Methanosphaerula palustris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643892655,,Methanobrevibacter smithii DSM 2374 M_smithiiDSM2374-1.0.1_Cont3.6: NZ_ABYV01000009,643886215,"Methanobrevibacter smithii F1, DSM 2374",linear,chromosome,490,465116,31.45,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter; Methanobrevibacter smithii,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A smithii,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter_A; Methanobrevibacter_A smithii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643892674,,Methanobrevibacter smithii DSM 2375 M_smithiDSM2375-1.0_Cont0.8: NZ_ABYW01000007,643886144,Methanobrevibacter smithii DSM 2375,linear,chromosome,312,316551,31.79,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter; Methanobrevibacter smithii,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter_A,Methanobrevibacter_A smithii,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter_A; Methanobrevibacter_A smithii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644736431,,Methanocaldococcus fervens AG86: NC_013156,644736385,Methanocaldococcus fervens AG86,circular,chromosome,1628,1485061,32.21,,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens,Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus fervens,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus fervens,,,,,,Provirus,vOTU_08556886,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ; ,Low,27.5,YES,d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__Methanocaldococcus fervens,IMGVR_UViG_644736385_000001,1,,,,,,,,,,,,,,,
646311932,,Methanocaldococcus vulcanius M7: NC_013407,646311944,"Methanocaldococcus vulcanius M7, DSM 12094",circular,chromosome,1792,1746329,31.49,,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus vulcanius,Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus vulcanius,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus vulcanius,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus vulcanius,,,,,,Provirus,vOTU_08569266,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ; ,Low,31.26,YES,d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__Methanocaldococcus vulcanius,IMGVR_UViG_646311944_000001,1,,,,,,,,,,,,,,,
646312022,,Methanobrevibacter ruminantium M1 chromosome: NC_013790,646311943,Methanobrevibacter ruminantium M1,circular,chromosome,2283,2937203,32.64,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter; Methanobrevibacter ruminantium,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobrevibacter; Methanobrevibacter ruminantium,,,,,,Provirus,vOTU_08569265,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ; ,High,93.19,YES,d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter; s__Methanobrevibacter ruminantium,IMGVR_UViG_646311943_000001,1,,,,,,,,,,,,,,,
646564544,,Methanocaldococcus sp. FS406-22 chromosome: NC_013887,646564548,Methanocaldococcus sp. FS406-22,circular,chromosome,1879,1760939,32.04,,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus sp. FS406-22,Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus sp. FS406-22,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus sp000025525,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus sp000025525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646564588,,Methanohalophilus mahii DSM 5219 chromosome: NC_014002,646564550,"Methanohalophilus mahii SLP, DSM 5219",circular,chromosome,2095,2012424,42.62,,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus mahii,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalophilus; Methanohalophilus mahii,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus mahii,Archaea; Halobacteriota; Methanosarcinia; Methanosarcinales; Methanosarcinaceae; Methanohalophilus; Methanohalophilus mahii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646564625,,Methanocaldococcus infernus ME chromosome: NC_014122,646564547,Methanocaldococcus infernus ME,circular,chromosome,1513,1328194,33.62,,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus infernus,Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus infernus,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus_A,Methanocaldococcus_A infernus,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus_A; Methanocaldococcus_A infernus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646564665,,Methanococcus voltae A3 chromosome: NC_014222,646564549,Methanococcus voltae A3,circular,chromosome,1768,1936387,28.59,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus voltae,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus voltae,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus voltae_D,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus voltae_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648028014,,Methanohalobium evestigatum Z-7303 chromosome: NC_014253,648028039,"Methanohalobium evestigatum Z-7303, DSM 3721",circular,chromosome,2318,2242317,36.63,,Archaea,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Methanohalobium evestigatum,Archaea; Methanobacteriota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalobium; Methanohalobium evestigatum,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Methanohalobium evestigatum,Archaea; Halobacteriota; Methanosarcinia; Methanosarcinales; Methanosarcinaceae; Methanohalobium; Methanohalobium evestigatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648028058,,Methanothermobacter marburgensis str. Marburg chromosome: NC_014408,648028041,Methanothermobacter marburgensis Marburg DSM 2133,circular,chromosome,1802,1634695,48.65,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter marburgensis,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter; Methanothermobacter marburgensis,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter marburgensis,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanothermobacteraceae; Methanothermobacter; Methanothermobacter marburgensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648028078,,Methanoplanus petrolearius DSM 11571 chromosome: NC_014507,648028040,Methanolacinia petrolearia DSM 11571,circular,chromosome,2881,2843290,47.4,,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,Methanolacinia petrolearia,Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanolacinia; Methanolacinia petrolearia,,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,Methanolacinia petrolearia,Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanolacinia; Methanolacinia petrolearia,,,,,,Provirus,vOTU_08560093,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ; ,Low,12.59,YES,d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanomicrobiaceae; g__Methanolacinia; s__Methanolacinia petrolearia,IMGVR_UViG_648028040_000001,1,,,,,,,,,,,,,,,
649633045,,Methanothermus fervidus DSM 2088 chromosome: NC_014658,649633067,"Methanothermus fervidus V24S, DSM 2088",circular,chromosome,1352,1243342,31.64,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,Methanothermus fervidus,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanothermaceae; Methanothermus; Methanothermus fervidus,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,Methanothermus fervidus,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanothermaceae; Methanothermus; Methanothermus fervidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650716024,,Methanobacterium sp. AL-21 chromosome: NC_015216,650716052,Methanobacterium lacus AL-21,circular,chromosome,2584,2583753,35.83,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium lacus,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium; Methanobacterium lacus,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_B,Methanobacterium_B lacus,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium_B; Methanobacterium_B lacus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
