Name	Description
2124908039	assembled B3_v_00488810 methyl-coenzyme M reductase, alpha subunit
2124908040	assembled B4_c_00537860 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_10001874 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_100026726 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_100062212 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_10012221 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_10012615 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_100140210 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_100394021 Methyl coenzyme M reductase, alpha subunit
3300003535	assembled Ba1_10098554 Methyl coenzyme M reductase, alpha subunit
3300003534	assembled Ba2oil_10089231 Methyl coenzyme M reductase, alpha subunit
3300003534	assembled Ba2oil_10102501 Methyl coenzyme M reductase, alpha subunit
3300003536	assembled Ba2Water_10228053 Methyl coenzyme M reductase, alpha subunit
3300001298	assembled Bac131567_10688117 Methyl coenzyme M reductase, alpha subunit
2061766000	assembled BDMC2_00286450 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
3300001389	assembled BDMCk91_10732110 Methyl coenzyme M reductase, alpha subunit
3300002837	assembled bg3kmer60_100014335 Methyl coenzyme M reductase, alpha subunit
3300002837	assembled bg3kmer60_100040113 Methyl coenzyme M reductase, alpha subunit
3300002837	assembled bg3kmer60_10006328 Methyl coenzyme M reductase, alpha subunit
3300002837	assembled bg3kmer60_10231581 Methyl coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0081.00005840 Methyl coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0276.00000050 methyl-coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0344.00013690 methyl-coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0510.00005710 methyl-coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0551.00001890 Methyl coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0767.00004290 methyl-coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0823.00009910 Methyl coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0824.00009840 Methyl coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0825.00009270 Methyl coenzyme M reductase, alpha subunit
2156126002	assembled BMHB2_0947.00009080 methyl-coenzyme M reductase, alpha subunit
2166559024	assembled BMHB3_01847860 methyl-coenzyme M reductase, alpha subunit
7000000352	assembled C3382575__gene_307130 methyl-coenzyme M reductase, alpha subunit
2037747002	assembled CBMAllContigs1fna_57910 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
2037747003	assembled CBMAllContigs2fna_130230 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
3300000302	assembled Cc83DRAFT_10058685 Methyl coenzyme M reductase, alpha subunit
3300000304	assembled Cf135DRAFT_100059283 Methyl coenzyme M reductase, alpha subunit
3300001861	assembled chempool_10044222 Methyl coenzyme M reductase, alpha subunit
3300001528	assembled chfe1id_1000019513 Methyl coenzyme M reductase, alpha subunit
3300001528	assembled chfe1id_1000041023 Methyl coenzyme M reductase, alpha subunit
3300001528	assembled chfe1id_100031874 Methyl coenzyme M reductase, alpha subunit
3300001528	assembled chfe1id_1000604812 Methyl coenzyme M reductase, alpha subunit
3300001525	assembled chfec4_1000043339 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_1000065186 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_1000110142 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_1000159163 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_1000159199 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_1000332176 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_1000332212 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_1000348121 Methyl coenzyme M reductase, alpha subunit
3300002733	assembled codie8draft_101812910 Methyl coenzyme M reductase, alpha subunit
3300002079	assembled CSTR_10090751 Methyl coenzyme M reductase, alpha subunit
3300001761	assembled CSTRM36_10052921 Methyl coenzyme M reductase, alpha subunit
3300001759	assembled CSTRM44_1041723 Methyl coenzyme M reductase, alpha subunit
3300002130	assembled CSTRM48_10107911 Methyl coenzyme M reductase, alpha subunit
3300000032	assembled Draft_00017132 Methyl coenzyme M reductase, alpha subunit
3300000032	assembled Draft_00022242 Methyl coenzyme M reductase, alpha subunit
3300000032	assembled Draft_000528727 Methyl coenzyme M reductase, alpha subunit
3300000032	assembled Draft_00165191 Methyl coenzyme M reductase, alpha subunit
3300000032	assembled Draft_00196721 Methyl coenzyme M reductase, alpha subunit
3300000032	assembled Draft_00413961 Methyl coenzyme M reductase, alpha subunit
3300002898	assembled draft_10000111105 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_10000158124 Methyl coenzyme M reductase, alpha subunit
3300002898	assembled draft_1000023615 Methyl coenzyme M reductase, alpha subunit
3300002898	assembled draft_1000047823 Methyl coenzyme M reductase, alpha subunit
3300002898	assembled draft_1000068252 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_1000095827 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_1000116731 Methyl coenzyme M reductase, alpha subunit
3300002695	assembled draft_1000125 Methyl coenzyme M reductase, alpha subunit
3300001580	assembled Draft_100013031 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_1000326314 Methyl coenzyme M reductase, alpha subunit
3300001580	assembled Draft_100040189 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_1000409115 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_100041661 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_100052414 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_100057279 Methyl coenzyme M reductase, alpha subunit
3300000558	assembled Draft_100063331 Methyl coenzyme M reductase, alpha subunit
3300001605	assembled Draft_100069635 Methyl coenzyme M reductase, alpha subunit
3300000558	assembled Draft_100083231 Methyl coenzyme M reductase, alpha subunit
3300001580	assembled Draft_100100094 Methyl coenzyme M reductase, alpha subunit
3300000558	assembled Draft_100127311 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_1001457732 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_1001457813 Methyl coenzyme M reductase, alpha subunit
3300001580	assembled Draft_100148034 Methyl coenzyme M reductase, alpha subunit
3300001594	assembled Draft_100187377 Methyl coenzyme M reductase, alpha subunit
3300001592	assembled Draft_100189947 Methyl coenzyme M reductase, alpha subunit
3300001594	assembled Draft_100190466 Methyl coenzyme M reductase, alpha subunit
3300001592	assembled Draft_100193036 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_100220881 Methyl coenzyme M reductase, alpha subunit
3300002694	assembled draft_1002333 Methyl coenzyme M reductase, alpha subunit
3300001594	assembled Draft_100247561 Methyl coenzyme M reductase, alpha subunit
3300001592	assembled Draft_100251121 Methyl coenzyme M reductase, alpha subunit
3300001580	assembled Draft_100264455 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_100267785 Methyl coenzyme M reductase, alpha subunit
3300001567	assembled Draft_100286272 Methyl coenzyme M reductase, alpha subunit
3300001594	assembled Draft_100313014 Methyl coenzyme M reductase, alpha subunit
3300001592	assembled Draft_100317724 Methyl coenzyme M reductase, alpha subunit
3300001580	assembled Draft_100399091 Methyl coenzyme M reductase, alpha subunit
3300001594	assembled Draft_100493412 Methyl coenzyme M reductase, alpha subunit
3300000558	assembled Draft_100495592 Methyl coenzyme M reductase, alpha subunit
3300001592	assembled Draft_100652301 Methyl coenzyme M reductase, alpha subunit
3300001580	assembled Draft_100791082 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_100828341 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_100843382 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_100843474 Methyl coenzyme M reductase, alpha subunit
3300000507	assembled Draft_1027171 Methyl coenzyme M reductase, alpha subunit
3300000594	assembled Draft_103652 Methyl coenzyme M reductase, alpha subunit
3300000507	assembled Draft_1043972 Methyl coenzyme M reductase, alpha subunit
3300000507	assembled Draft_1044062 Methyl coenzyme M reductase, alpha subunit
3300000507	assembled Draft_1055921 Methyl coenzyme M reductase, alpha subunit
3300000568	assembled Draft_107655974 Methyl coenzyme M reductase, alpha subunit
3300002703	assembled draft_110507152 Methyl coenzyme M reductase, alpha subunit
3300002703	assembled draft_110784474 Methyl coenzyme M reductase, alpha subunit
3300002703	assembled draft_110793571 Methyl coenzyme M reductase, alpha subunit
3300002703	assembled draft_110801726 Methyl coenzyme M reductase, alpha subunit
3300002703	assembled draft_110854029 Methyl coenzyme M reductase, alpha subunit
3300002703	assembled draft_1108600620 Methyl coenzyme M reductase, alpha subunit
3300002703	assembled draft_110866105 Methyl coenzyme M reductase, alpha subunit
3300002856	assembled draft_115013781 Methyl coenzyme M reductase, alpha subunit
3300002857	assembled draft_115172541 Methyl coenzyme M reductase, alpha subunit
3300002596	assembled draft_14020291 Methyl coenzyme M reductase, alpha subunit
3300002596	assembled draft_14138601 Methyl coenzyme M reductase, alpha subunit
3300002596	assembled draft_14186332 Methyl coenzyme M reductase, alpha subunit
3300002596	assembled draft_14187865 Methyl coenzyme M reductase, alpha subunit
3300002596	assembled draft_14195754 Methyl coenzyme M reductase, alpha subunit
3300002701	assembled draft_14196691 Methyl coenzyme M reductase, alpha subunit
3300002701	assembled draft_14326221 Methyl coenzyme M reductase, alpha subunit
3300002701	assembled draft_14380892 Methyl coenzyme M reductase, alpha subunit
3300002701	assembled draft_14382725 Methyl coenzyme M reductase, alpha subunit
3300002701	assembled draft_14392254 Methyl coenzyme M reductase, alpha subunit
2067725009	assembled draft_perm_00075180 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
3300002534	assembled Draft15573 Methyl coenzyme M reductase, alpha subunit
2084038002	assembled EBI1_00005530 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
2084038002	assembled EBI1_00155960 methyl-coenzyme M reductase, alpha subunit
2084038002	assembled EBI1_00212200 methyl-coenzyme M reductase, alpha subunit
3300000283	assembled EM238_100081222 Methyl coenzyme M reductase, alpha subunit
3300001598	assembled EMG_100722263 Methyl coenzyme M reductase, alpha subunit
3300001598	assembled EMG_100763784 Methyl coenzyme M reductase, alpha subunit
3300001598	assembled EMG_101613391 Methyl coenzyme M reductase, alpha subunit
3300001598	assembled EMG_102073501 Methyl coenzyme M reductase, alpha subunit
3300002988	assembled FeGlu_100028889 Methyl coenzyme M reductase, alpha subunit
3300003471	assembled FeGluNO3_100245812 Methyl coenzyme M reductase, alpha subunit
3300000510	assembled Foulum_100262816 Methyl coenzyme M reductase, alpha subunit
3300003513	assembled FS828DNA_10299542 Methyl coenzyme M reductase, alpha subunit
3300004775	assembled Ga0007798_100078502 Methyl coenzyme M reductase, alpha subunit
3300004775	assembled Ga0007798_100082283 Methyl coenzyme M reductase, alpha subunit
3300004776	assembled Ga0007800_100016631 Methyl coenzyme M reductase, alpha subunit
3300003859	assembled Ga0031653_100015635 Methyl coenzyme M reductase, alpha subunit
3300003859	assembled Ga0031653_100185491 Methyl coenzyme M reductase, alpha subunit
3300003861	assembled Ga0031654_100360132 Methyl coenzyme M reductase, alpha subunit
3300003861	assembled Ga0031654_100470391 Methyl coenzyme M reductase, alpha subunit
3300003852	assembled Ga0031655_100545581 Methyl coenzyme M reductase, alpha subunit
3300003852	assembled Ga0031655_100576912 Methyl coenzyme M reductase, alpha subunit
3300003852	assembled Ga0031655_100648561 Methyl coenzyme M reductase, alpha subunit
3300003858	assembled Ga0031656_100024003 Methyl coenzyme M reductase, alpha subunit
3300003858	assembled Ga0031656_100123501 Methyl coenzyme M reductase, alpha subunit
3300003146	assembled Ga0051080_101487027 Methyl coenzyme M reductase, alpha subunit
3300004024	assembled Ga0055436_100412341 Methyl coenzyme M reductase, alpha subunit
3300003998	assembled Ga0055472_100038271 Methyl coenzyme M reductase, alpha subunit
3300004063	assembled Ga0055483_100014145 Methyl coenzyme M reductase, alpha subunit
3300004063	assembled Ga0055483_100303691 Methyl coenzyme M reductase, alpha subunit
3300004063	assembled Ga0055483_100373401 Methyl coenzyme M reductase, alpha subunit
3300004066	assembled Ga0055484_100023603 Methyl coenzyme M reductase, alpha subunit
3300003889	assembled Ga0062441_100318637 Methyl coenzyme M reductase, alpha subunit
3300005284	assembled Ga0065708_10405515 Methyl coenzyme M reductase, alpha subunit
3300005278	assembled Ga0065718_10250305 Methyl coenzyme M reductase, alpha subunit
3300005278	assembled Ga0065718_10253126 Methyl coenzyme M reductase, alpha subunit
3300004282	assembled Ga0066599_1000165723
3300009029	assembled Ga0066793_100052367 methyl-coenzyme M reductase alpha subunit
3300009029	assembled Ga0066793_100319422 methyl-coenzyme M reductase alpha subunit
3300005947	assembled Ga0066794_100002884 Methyl coenzyme M reductase, alpha subunit
3300005947	assembled Ga0066794_100381451 Methyl coenzyme M reductase, alpha subunit
3300006864	assembled Ga0066797_10031786 Methyl coenzyme M reductase, alpha subunit
3300005980	assembled Ga0066798_100080382 Methyl coenzyme M reductase, alpha subunit
3300005071	assembled Ga0068302_100013445 Methyl coenzyme M reductase, alpha subunit
3300005071	assembled Ga0068302_100122725 Methyl coenzyme M reductase, alpha subunit
3300005079	assembled Ga0068304_10562144 Methyl coenzyme M reductase, alpha subunit
3300005079	assembled Ga0068304_10782121 Methyl coenzyme M reductase, alpha subunit
3300005079	assembled Ga0068304_11722681 Methyl coenzyme M reductase, alpha subunit
3300005083	assembled Ga0068305_100583342 Methyl coenzyme M reductase, alpha subunit
3300005083	assembled Ga0068305_101678521 Methyl coenzyme M reductase, alpha subunit
3300005144	assembled Ga0068711_1000016286 Methyl coenzyme M reductase, alpha subunit
3300005144	assembled Ga0068711_10000736 Methyl coenzyme M reductase, alpha subunit
3300005144	assembled Ga0068711_10001326 Methyl coenzyme M reductase, alpha subunit
3300005144	assembled Ga0068711_10032032 Methyl coenzyme M reductase, alpha subunit
3300005144	assembled Ga0068711_10097181 Methyl coenzyme M reductase, alpha subunit
3300005144	assembled Ga0068711_10119721 Methyl coenzyme M reductase, alpha subunit
3300005144	assembled Ga0068711_10222901 Methyl coenzyme M reductase, alpha subunit
3300005252	assembled Ga0068712_100036924 Methyl coenzyme M reductase, alpha subunit
3300005145	assembled Ga0068713_100033724 Methyl coenzyme M reductase, alpha subunit
3300005219	assembled Ga0069004_100137451 Methyl coenzyme M reductase, alpha subunit
3300004628	assembled Ga0070399_100022725 Methyl coenzyme M reductase, alpha subunit
3300004628	assembled Ga0070399_100047525 Methyl coenzyme M reductase, alpha subunit
3300004628	assembled Ga0070399_100114528 Methyl coenzyme M reductase, alpha subunit
3300004628	assembled Ga0070399_100386113 Methyl coenzyme M reductase, alpha subunit
3300004628	assembled Ga0070399_10350352 Methyl coenzyme M reductase, alpha subunit
3300005045	assembled Ga0071328_1609903 Methyl coenzyme M reductase, alpha subunit
3300005259	assembled Ga0071344_10033885 Methyl coenzyme M reductase, alpha subunit
3300005259	assembled Ga0071344_10055692 Methyl coenzyme M reductase, alpha subunit
3300005259	assembled Ga0071344_10563732 Methyl coenzyme M reductase, alpha subunit
3300005261	assembled Ga0071345_10074562 Methyl coenzyme M reductase, alpha subunit
3300005263	assembled Ga0071346_10013997 Methyl coenzyme M reductase, alpha subunit
3300005263	assembled Ga0071346_10058175 Methyl coenzyme M reductase, alpha subunit
3300005263	assembled Ga0071346_10084628 Methyl coenzyme M reductase, alpha subunit
3300005263	assembled Ga0071346_101046710 Methyl coenzyme M reductase, alpha subunit
3300005263	assembled Ga0071346_10109514 Methyl coenzyme M reductase, alpha subunit
3300005081	assembled Ga0072335_100293331 Methyl coenzyme M reductase, alpha subunit
3300005081	assembled Ga0072335_100689561 Methyl coenzyme M reductase, alpha subunit
3300005081	assembled Ga0072335_101258178 Methyl coenzyme M reductase, alpha subunit
3300005082	assembled Ga0072336_100632347 Methyl coenzyme M reductase, alpha subunit
3300005082	assembled Ga0072336_101029855 Methyl coenzyme M reductase, alpha subunit
3300005095	assembled Ga0072504_1148478 Methyl coenzyme M reductase, alpha subunit
3300005095	assembled Ga0072504_11917812 Methyl coenzyme M reductase, alpha subunit
3300005095	assembled Ga0072504_1423044 Methyl coenzyme M reductase, alpha subunit
3300005095	assembled Ga0072504_1432993 Methyl coenzyme M reductase, alpha subunit
3300005099	assembled Ga0072682_1108373 Methyl coenzyme M reductase, alpha subunit
3300005099	assembled Ga0072682_1148603 Methyl coenzyme M reductase, alpha subunit
3300005098	assembled Ga0072683_1009564 Methyl coenzyme M reductase, alpha subunit
3300005098	assembled Ga0072683_1012698 Methyl coenzyme M reductase, alpha subunit
3300005098	assembled Ga0072683_1056445 Methyl coenzyme M reductase, alpha subunit
3300005098	assembled Ga0072683_1056538 Methyl coenzyme M reductase, alpha subunit
3300005098	assembled Ga0072683_1056549 Methyl coenzyme M reductase, alpha subunit
3300005100	assembled Ga0072724_1026622 Methyl coenzyme M reductase, alpha subunit
3300005101	assembled Ga0072934_101628642 Methyl coenzyme M reductase, alpha subunit
3300005201	assembled Ga0072941_12553731 Methyl coenzyme M reductase, alpha subunit
3300005201	assembled Ga0072941_15678091 Methyl coenzyme M reductase, alpha subunit
3300007072	assembled Ga0073932_100049285 Methyl coenzyme M reductase, alpha subunit
3300007072	assembled Ga0073932_10009162 Methyl coenzyme M reductase, alpha subunit
3300010343	assembled Ga0074044_101980621 methyl-coenzyme M reductase alpha subunit
3300010341	assembled Ga0074045_101604841 methyl-coenzyme M reductase alpha subunit
3300010339	assembled Ga0074046_1000049930 methyl-coenzyme M reductase alpha subunit
3300010339	assembled Ga0074046_100205661 methyl-coenzyme M reductase alpha subunit
3300005665	assembled Ga0074127_1000694 Methyl coenzyme M reductase, alpha subunit
3300005665	assembled Ga0074127_1004794 Methyl coenzyme M reductase, alpha subunit
3300005665	assembled Ga0074127_1006156 Methyl coenzyme M reductase, alpha subunit
3300005665	assembled Ga0074127_1025612 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_100013187 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_100047642 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_10024987 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_100359111 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_10048365 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_10051437 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_10091682 Methyl coenzyme M reductase, alpha subunit
3300005405	assembled Ga0074193_10091775 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_1000014464 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_100056383 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_100088342 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_10009859 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_100171810 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_10109535 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_10120201 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_10212972 Methyl coenzyme M reductase, alpha subunit
3300005326	assembled Ga0074195_10363842 Methyl coenzyme M reductase, alpha subunit
3300005403	assembled Ga0074197_100012231 Methyl coenzyme M reductase, alpha subunit
3300005403	assembled Ga0074197_100017431 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_1000021321 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_1000041223 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_1000073125 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100009093 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100009253 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100010638 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100014770 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100032126 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100033517 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100062314 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_100075210 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_10017007 Methyl coenzyme M reductase, alpha subunit
3300005323	assembled Ga0074198_10033079 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_100005144 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_1000091100 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_1000134188 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_100045132 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_100139810 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_10017502 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_10031831 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_10056491 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_10063451 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_10082641 Methyl coenzyme M reductase, alpha subunit
3300005325	assembled Ga0074199_10087231 Methyl coenzyme M reductase, alpha subunit
3300005692	assembled Ga0074219_1063807 Methyl coenzyme M reductase, alpha subunit
3300005697	assembled Ga0074229_1070321 Methyl coenzyme M reductase, alpha subunit
3300005504	assembled Ga0074230_16569152 Methyl coenzyme M reductase, alpha subunit
3300005362	assembled Ga0074254_113004867 Methyl coenzyme M reductase, alpha subunit
3300005443	assembled Ga0074258_10100342 Methyl coenzyme M reductase, alpha subunit
3300005443	assembled Ga0074258_10147811 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_10334 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_1063 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_10836 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_1121 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_1176 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_1243 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_1264 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_13936 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_14532 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_15228 Methyl coenzyme M reductase, alpha subunit
3300005373	assembled Ga0074260_1578 Methyl coenzyme M reductase, alpha subunit
3300005716	assembled Ga0074279_1001647 Methyl coenzyme M reductase, alpha subunit
3300005472	assembled Ga0074280_13113 Methyl coenzyme M reductase, alpha subunit
3300005667	assembled Ga0074305_1257140 Methyl coenzyme M reductase, alpha subunit
3300006033	assembled Ga0075012_102256201 Methyl coenzyme M reductase, alpha subunit
3300005919	assembled Ga0075114_1000039324 Methyl coenzyme M reductase, alpha subunit
3300005917	assembled Ga0075115_100004056 Methyl coenzyme M reductase, alpha subunit
3300005917	assembled Ga0075115_100065192 Methyl coenzyme M reductase, alpha subunit
3300005939	assembled Ga0075123_1000027224 Methyl coenzyme M reductase, alpha subunit
3300005939	assembled Ga0075123_100005456 Methyl coenzyme M reductase, alpha subunit
3300005936	assembled Ga0075124_100018687 Methyl coenzyme M reductase, alpha subunit
3300005936	assembled Ga0075124_100031115 Methyl coenzyme M reductase, alpha subunit
3300005936	assembled Ga0075124_100535391 Methyl coenzyme M reductase, alpha subunit
3300014258	assembled Ga0075315_10004862 methyl-coenzyme M reductase alpha subunit
3300014314	assembled Ga0075316_10116741 methyl-coenzyme M reductase alpha subunit
3300014309	assembled Ga0075317_10017633 methyl-coenzyme M reductase alpha subunit
3300014256	assembled Ga0075318_10007854 methyl-coenzyme M reductase alpha subunit
3300014257	assembled Ga0075319_10013663 methyl-coenzyme M reductase alpha subunit
3300014257	assembled Ga0075319_10026562 methyl-coenzyme M reductase alpha subunit
3300014255	assembled Ga0075320_10037152 methyl-coenzyme M reductase alpha subunit
3300014301	assembled Ga0075323_10008724 methyl-coenzyme M reductase alpha subunit
3300014266	assembled Ga0075359_10021471 methyl-coenzyme M reductase alpha subunit
3300014261	assembled Ga0075360_10051721 methyl-coenzyme M reductase alpha subunit
3300014261	assembled Ga0075360_10083301 methyl-coenzyme M reductase alpha subunit
3300006972	assembled Ga0075518_10079391 Methyl coenzyme M reductase, alpha subunit
3300006972	assembled Ga0075518_10234271 Methyl coenzyme M reductase, alpha subunit
3300009010	assembled Ga0075519_10015901 methyl-coenzyme M reductase alpha subunit
3300006795	assembled Ga0075520_10082265 Methyl coenzyme M reductase, alpha subunit
3300006795	assembled Ga0075520_10087021 Methyl coenzyme M reductase, alpha subunit
3300006795	assembled Ga0075520_10111606 Methyl coenzyme M reductase, alpha subunit
3300006795	assembled Ga0075520_10611381 Methyl coenzyme M reductase, alpha subunit
