Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Scaffold ID
2065487005 assembled mockstg_il_ca_00614600,mockstg_il_ca_00614600,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487005,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina CeleraAssembler (*) (MER-FS) (assembled)",1,mockstg_il_ca_ctg120028281648
2065487005 assembled mockstg_il_ca_00615780,mockstg_il_ca_00615780,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487005,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina CeleraAssembler (*) (MER-FS) (assembled)",1,mockstg_il_ca_ctg120028281648
2065487006 assembled mockstg_il_newbler_00239570,mockstg_il_newbler_00239570,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487006,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina Newbler (*) (MER-FS) (assembled)",1,mockstg_il_newbler_contig00506
2065487006 assembled mockstg_il_newbler_00321850,mockstg_il_newbler_00321850,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487006,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina Newbler (*) (MER-FS) (assembled)",1,mockstg_il_newbler_contig00582
2065487007 assembled mocke_il_soapb_00154440,mocke_il_soapb_00154440,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487007,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Even Illumina SOAP 2010 (*) (MER-FS) (assembled)",1,mocke_il_soapb_contig_68041
2065487007 assembled mocke_il_soapb_00104080,mocke_il_soapb_00104080,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487007,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Even Illumina SOAP 2010 (*) (MER-FS) (assembled)",1,mocke_il_soapb_contig_10839
2065487008 assembled mocke_il_soapa_00734540,mocke_il_soapa_00734540,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487008,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Even Illumina 2009 SOAP (*) (MER-FS) (assembled)",1,mocke_il_soapa_contig_70217
2065487009 assembled mocke_il_newa_00675190,mocke_il_newa_00675190,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487009,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Even 2009 Newbler Illumina (*) (MER-FS) (assembled)",1,mocke_il_newa_contig06160
2067725009 assembled draft_perm_00075180,draft_perm_00075180,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2067725009,"Permafrost microbial communities from central Alaska, USA - Permafrost field sample (*) (MER-FS) (assembled)",1,PermFrostAlaska_NODE_22708_len_3252_cov_43_219864
2077657014 assembled ASA126_01818320,ASA126_01818320,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2077657014,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 6-9 cm (*) (MER-FS) (assembled)",1,ASA126_contig00070
2081372008 assembled TAcon_00480190,TAcon_00480190,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2081372008,Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample (*) (MER-FS) (assembled),1,TAcon_WLES1-4.Sanger.454shreds._C13283
2081372008 assembled TAcon_00469990,TAcon_00469990,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2081372008,Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample (*) (MER-FS) (assembled),1,TAcon_WLES1-4.Sanger.454shreds._C1324
2081372008 assembled TAcon_00145060,TAcon_00145060,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2081372008,Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample (*) (MER-FS) (assembled),1,TAcon_WLES1-4.Sanger.454shreds._C900
2081372008 assembled TAcon_00367190,TAcon_00367190,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2081372008,Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample (*) (MER-FS) (assembled),1,TAcon_WLES1-4.Sanger.454shreds._C13244
2084038002 assembled EBI1_00212200,EBI1_00212200,"methyl-coenzyme M reductase, alpha subunit",2084038002,"Oil reservoir microbial communities from Wyoming, USA - Sample 547 (*) (MER-FS) (assembled)",1,EBI1_NODE_9897_len_12352_cov_34_112129
2084038002 assembled EBI1_00155960,EBI1_00155960,"methyl-coenzyme M reductase, alpha subunit",2084038002,"Oil reservoir microbial communities from Wyoming, USA - Sample 547 (*) (MER-FS) (assembled)",1,EBI1_NODE_4338_len_36268_cov_68_530663
2084038002 assembled EBI1_00005530,EBI1_00005530,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2084038002,"Oil reservoir microbial communities from Wyoming, USA - Sample 547 (*) (MER-FS) (assembled)",1,EBI1_NODE_1038_len_9813_cov_15_261592
2084038021 assembled ASA129_01102430,ASA129_01102430,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2084038021,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 9-12 cm (*) (MER-FS) (assembled)",1,ASA129_contig00306
2088090024 assembled MXSH_01667720,MXSH_01667720,"Methyl coenzyme M reductase, alpha subunit",2088090024,Sample MXSH (*) (MER-FS) (assembled),1,MXSH_contig04904
2124908004 assembled PBDC3_06047850,PBDC3_06047850,"methyl-coenzyme M reductase, alpha subunit",2124908004,"Poplar biomass bioreactor microbial communities from Brookhaven National Lab, NY - total biomass decay community v1 (*) (MER-FS) (assembled)",1,PBDC3_scaffold00686
2124908037 assembled B3_GZBA_v_00005570,B3_GZBA_v_00005570,"Methyl coenzyme M reductase, alpha subunit",2124908037,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 v1 (version 3) (*) (MER-FS) (assembled)",1,B3_GZBA_v_NODE_48865_len_6165_cov_17_178265
2124908039 assembled B3_v_00488810,B3_v_00488810,"methyl-coenzyme M reductase, alpha subunit",2124908039,"Soil microbial communities from permafrost in Bonanza Creek, Alaska, sample from Bog Site B4 v1 (*) (MER-FS) (assembled)",1,B3_v_NODE_109310_len_129623_cov_18_303394
2124908039 assembled B3_v_00041940,B3_v_00041940,"methyl-coenzyme M reductase, alpha subunit",2124908039,"Soil microbial communities from permafrost in Bonanza Creek, Alaska, sample from Bog Site B4 v1 (*) (MER-FS) (assembled)",1,B3_v_NODE_13643_len_2553_cov_7_734430
2124908040 assembled B4_c_00537860,B4_c_00537860,"Methyl coenzyme M reductase, alpha subunit",2124908040,"Soil microbial communities from permafrost in Bonanza Creek, Alaska, sample from Bog Site B4 v2 (version 2) (*) (MER-FS) (assembled)",1,B4_c_ConsensusfromContig66181
2140918003 assembled ANME1215_00510810,ANME1215_00510810,"methyl-coenzyme M reductase, alpha subunit",2140918003,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 12-15 cm (*) (MER-FS) (assembled)",1,contig00749
2140918006 assembled P1_C_01769430,P1_C_01769430,"methyl-coenzyme M reductase, alpha subunit",2140918006,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Permafrost Layer P1 v2 (version 2) (*) (MER-FS) (assembled)",1,ConsensusfromContig1854
2140918009 assembled B3_GZOS_V_00067770,B3_GZOS_V_00067770,"methyl-coenzyme M reductase, alpha subunit",2140918009,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 v5 (version 5) (*) (MER-FS) (assembled)",1,NODE_7549_length_7187_cov_8.452345
2140918024 assembled B_all_v_01139240,B_all_v_01139240,"Methyl coenzyme M reductase, alpha subunit",2140918024,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog_all (*) (MER-FS) (assembled)",1,NODE_551697_length_15586_cov_14.020596
2140918025 assembled b3_nosca_v_01006440,b3_nosca_v_01006440,"methyl-coenzyme M reductase, alpha subunit",2140918025,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 v7 (version 7) (*) (MER-FS) (assembled)",1,NODE_100828_length_1968_cov_13.151931
2140918025 assembled b3_nosca_v_01157460,b3_nosca_v_01157460,"methyl-coenzyme M reductase, alpha subunit",2140918025,"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 v7 (version 7) (*) (MER-FS) (assembled)",1,NODE_66431_length_1531_cov_11.444807
2156126002 assembled BMHB2_0825.00009270,BMHB2_0825.00009270,"Methyl coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__copedg8
2156126002 assembled BMHB2_0823.00009910,BMHB2_0823.00009910,"Methyl coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__copedg6
2156126002 assembled BMHB2_0824.00009840,BMHB2_0824.00009840,"Methyl coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__copedg7
2156126002 assembled BMHB2_0081.00005840,BMHB2_0081.00005840,"Methyl coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__coolvi2
2156126002 assembled BMHB2_0551.00001890,BMHB2_0551.00001890,"Methyl coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__conztt2
2156126002 assembled BMHB2_0767.00004290,BMHB2_0767.00004290,"methyl-coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__coohmo8
2156126002 assembled BMHB2_0947.00009080,BMHB2_0947.00009080,"methyl-coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__cooyzc9
2156126002 assembled BMHB2_0276.00000050,BMHB2_0276.00000050,"methyl-coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__contnd6
2156126002 assembled BMHB2_0344.00013690,BMHB2_0344.00013690,"methyl-coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__coposj1
2156126002 assembled BMHB2_0510.00005710,BMHB2_0510.00005710,"methyl-coenzyme M reductase, alpha subunit",2156126002,"Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2 (*) (MER-FS) (assembled)",1,BMHB2__coooof1
2162886008 assembled PRSSGFe2_0809.00001360,PRSSGFe2_0809.00001360,"methyl-coenzyme M reductase, alpha subunit",2162886008,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass - Feedstock-adapted consortia SG + Fe (*) (MER-FS) (assembled)",1,PRSSGFe2_Sequence0000005809
2162886008 assembled PRSSGFe2_0335.00001900,PRSSGFe2_0335.00001900,"methyl-coenzyme M reductase, alpha subunit",2162886008,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass - Feedstock-adapted consortia SG + Fe (*) (MER-FS) (assembled)",1,PRSSGFe2_Sequence0000007335
2166559024 assembled BMHB3_01847860,BMHB3_01847860,"methyl-coenzyme M reductase, alpha subunit",2166559024,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 3 version 1 (version 2) (*) (MER-FS) (assembled)",1,BMHB3_Sequence0000006702
2189573022 assembled PRSSG2_01072730,PRSSG2_01072730,"methyl-coenzyme M reductase, alpha subunit",2189573022,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass - feedstock-adapted consortia SG only (*) (MER-FS) (assembled)",1,PRSSG2_Sequence0000006534
2189573022 assembled PRSSG2_01411830,PRSSG2_01411830,"methyl-coenzyme M reductase, alpha subunit",2189573022,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass - feedstock-adapted consortia SG only (*) (MER-FS) (assembled)",1,PRSSG2_Sequence0000011953
2189573022 assembled PRSSG2_01100850,PRSSG2_01100850,"methyl-coenzyme M reductase, alpha subunit",2189573022,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass - feedstock-adapted consortia SG only (*) (MER-FS) (assembled)",1,PRSSG2_Sequence0000000688
2199034002 assembled ANASMECb_00408120,ANASMECb_00408120,"Methyl coenzyme M reductase, alpha subunit",2199034002,"Soil microbial communities from bioreactor at Alameda Naval Air Station, CA, contaminated with Chloroethene -196 (*) (MER-FS) (assembled)",1,ANASMECb_4085297_C1916
2199034002 assembled ANASMECb_00085030,ANASMECb_00085030,"methyl-coenzyme M reductase, alpha subunit",2199034002,"Soil microbial communities from bioreactor at Alameda Naval Air Station, CA, contaminated with Chloroethene -196 (*) (MER-FS) (assembled)",1,ANASMECb_4085297_C4654
2199034002 assembled ANASMECb_00065320,ANASMECb_00065320,"methyl-coenzyme M reductase, alpha subunit",2199034002,"Soil microbial communities from bioreactor at Alameda Naval Air Station, CA, contaminated with Chloroethene -196 (*) (MER-FS) (assembled)",1,ANASMECb_4085297_C4198
2199352030 assembled 2206340840,spzC5v2_00140,"Methyl coenzyme M reductase, alpha subunit",2199352030,"Compost microbial communities from Sao Paulo Zoo, Brazil - ZC2 (*) (MER-FS) (assembled)",1,2204601557
2225789003 assembled 2227419380,IMNBL2_14,"methyl-coenzyme M reductase, alpha subunit",2225789003,Passalidae beetle gut microbial communities from Costa Rica -Larvae (2ML+2BL) (*) (MER-FS) (assembled),1,2227063683
2225789003 assembled 2227361004,IMNBL2_12,"methyl-coenzyme M reductase, alpha subunit",2225789003,Passalidae beetle gut microbial communities from Costa Rica -Larvae (2ML+2BL) (*) (MER-FS) (assembled),1,2227005361
2225789004 assembled 2227474494,IMNBL4_11,"methyl-coenzyme M reductase, alpha subunit",2225789004,Passalidae beetle gut microbial communities from Costa Rica -Larvae (4BL+4ML+4MSL) (*) (MER-FS) (assembled),1,2227094143
2225789004 assembled 2228078211,IMNBL4_19,"methyl-coenzyme M reductase, alpha subunit",2225789004,Passalidae beetle gut microbial communities from Costa Rica -Larvae (4BL+4ML+4MSL) (*) (MER-FS) (assembled),1,2227549638
2228664010 assembled 2231279928,DRAFT_000461,"methyl-coenzyme M reductase, alpha subunit",2228664010,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",1,2231457663
2228664010 assembled 2231285994,DRAFT_006944,"methyl-coenzyme M reductase, alpha subunit",2228664010,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",1,2231458311
2228664010 assembled 2231288273,DRAFT_011011,"methyl-coenzyme M reductase, alpha subunit",2228664010,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",1,2231458718
2228664010 assembled 2231289933,DRAFT_014931,"methyl-coenzyme M reductase, alpha subunit",2228664010,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (*) (MER-FS) (assembled)",1,2231459110
2236876020 assembled 2244008158,Draft_006004,"methyl-coenzyme M reductase, alpha subunit",2236876020,Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC: (*) (MER-FS) (assembled),1,2244390391
3300000032 assembled Draft_00165191,Draft_00165191,"Methyl coenzyme M reductase, alpha subunit",3300000032,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",1,Draft_c0016519
3300000032 assembled Draft_00017132,Draft_00017132,"Methyl coenzyme M reductase, alpha subunit",3300000032,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",1,Draft_c0001713
3300000032 assembled Draft_000528727,Draft_000528727,"Methyl coenzyme M reductase, alpha subunit",3300000032,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",1,Draft_c0005287
3300000032 assembled Draft_00022242,Draft_00022242,"Methyl coenzyme M reductase, alpha subunit",3300000032,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",1,Draft_c0002224
3300000032 assembled Draft_00196721,Draft_00196721,"Methyl coenzyme M reductase, alpha subunit",3300000032,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",1,Draft_c0019672
3300000032 assembled Draft_00413961,Draft_00413961,"Methyl coenzyme M reductase, alpha subunit",3300000032,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada (*) (MER-FS) (assembled)",1,Draft_c0041396
3300000062 assembled IMNBL1DRAFT_000047919,IMNBL1DRAFT_000047919,"Methyl coenzyme M reductase, alpha subunit",3300000062,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL) (*) (MER-FS) (assembled),1,IMNBL1DRAFT_c0000479
3300000062 assembled IMNBL1DRAFT_000006996,IMNBL1DRAFT_000006996,"Methyl coenzyme M reductase, alpha subunit",3300000062,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL) (*) (MER-FS) (assembled),1,IMNBL1DRAFT_c0000069
3300000062 assembled IMNBL1DRAFT_00050289,IMNBL1DRAFT_00050289,"Methyl coenzyme M reductase, alpha subunit",3300000062,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL) (*) (MER-FS) (assembled),1,IMNBL1DRAFT_c0005028
3300000062 assembled IMNBL1DRAFT_000000161,IMNBL1DRAFT_000000161,"Methyl coenzyme M reductase, alpha subunit",3300000062,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL) (*) (MER-FS) (assembled),1,IMNBL1DRAFT_c0000001
3300000062 assembled IMNBL1DRAFT_00143101,IMNBL1DRAFT_00143101,"Methyl coenzyme M reductase, alpha subunit",3300000062,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL) (*) (MER-FS) (assembled),1,IMNBL1DRAFT_c0014310
3300000094 assembled WSSedA1TDRAFT_0069291,WSSedA1TDRAFT_0069291,"Methyl coenzyme M reductase, alpha subunit",3300000094,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Tule (*) (MER-FS) (assembled)",1,WSSedA1TDRAFT_c006929
3300000103 assembled IMNBL5_100009311,IMNBL5_100009311,"Methyl coenzyme M reductase, alpha subunit",3300000103,Passalidae beetle gut microbial communities from Costa Rica -Larvae (5ML+5BL) v1 (*) (MER-FS) (assembled),1,IMNBL5_c1000093
3300000103 assembled IMNBL5_10007254,IMNBL5_10007254,"Methyl coenzyme M reductase, alpha subunit",3300000103,Passalidae beetle gut microbial communities from Costa Rica -Larvae (5ML+5BL) v1 (*) (MER-FS) (assembled),1,IMNBL5_c1000725
3300000114 assembled IMNBL3_100145053,IMNBL3_100145053,"Methyl coenzyme M reductase, alpha subunit",3300000114,Passalidae beetle gut microbial communities from Costa Rica -Larvae (3ML+3BL) v1 (*) (MER-FS) (assembled),1,IMNBL3_c10014505
3300000114 assembled IMNBL3_100233941,IMNBL3_100233941,"Methyl coenzyme M reductase, alpha subunit",3300000114,Passalidae beetle gut microbial communities from Costa Rica -Larvae (3ML+3BL) v1 (*) (MER-FS) (assembled),1,IMNBL3_c10023394
3300000114 assembled IMNBL3_100209822,IMNBL3_100209822,"Methyl coenzyme M reductase, alpha subunit",3300000114,Passalidae beetle gut microbial communities from Costa Rica -Larvae (3ML+3BL) v1 (*) (MER-FS) (assembled),1,IMNBL3_c10020982
3300000114 assembled IMNBL3_1000033524,IMNBL3_1000033524,"Methyl coenzyme M reductase, alpha subunit",3300000114,Passalidae beetle gut microbial communities from Costa Rica -Larvae (3ML+3BL) v1 (*) (MER-FS) (assembled),1,IMNBL3_c10000335
3300000114 assembled IMNBL3_100394352,IMNBL3_100394352,"Methyl coenzyme M reductase, alpha subunit",3300000114,Passalidae beetle gut microbial communities from Costa Rica -Larvae (3ML+3BL) v1 (*) (MER-FS) (assembled),1,IMNBL3_c10039435
3300000230 assembled TB_GS10_10DRAFT_100131645,TB_GS10_10DRAFT_100131645,"Methyl coenzyme M reductase, alpha subunit",3300000230,"Groundwater microbial communities from subsurface biofilms in sulfidic aquifier in Frasassi Gorge, Italy, sample from two redox zones- GS10_10 (*) (MER-FS) (assembled)",1,TB_GS10_10DRAFT_10013164
3300000283 assembled EM238_100081222,EM238_100081222,"Methyl coenzyme M reductase, alpha subunit",3300000283,"Human fecal microbial communities from Cork, Ireland - EM238 (*) (MER-FS) (assembled)",1,EM238_1000812
3300000302 assembled Cc83DRAFT_10058685,Cc83DRAFT_10058685,"Methyl coenzyme M reductase, alpha subunit",3300000302,CECUM_8-3 (*) (MER-FS) (assembled),1,Cc83DRAFT_1005868
3300000304 assembled Cf135DRAFT_100059283,Cf135DRAFT_100059283,"Methyl coenzyme M reductase, alpha subunit",3300000304,FAECES_0-135 (*) (MER-FS) (assembled),1,Cf135DRAFT_1000592
3300000309 assembled WSSedA1BaDRAFT_10013326,WSSedA1BaDRAFT_10013326,"Methyl coenzyme M reductase, alpha subunit",3300000309,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk v2 (*) (MER-FS) (assembled)",1,WSSedA1BaDRAFT_1001332
3300000310 assembled WSSedA1Ba2DRAFT_10013881,WSSedA1Ba2DRAFT_10013881,"Methyl coenzyme M reductase, alpha subunit",3300000310,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk v1 (version 2) (*) (MER-FS) (assembled)",1,WSSedA1Ba2DRAFT_1001388
3300000313 assembled WSSedB1CaDRAFT_100092142,WSSedB1CaDRAFT_100092142,"Methyl coenzyme M reductase, alpha subunit",3300000313,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Cattail (*) (MER-FS) (assembled)",1,WSSedB1CaDRAFT_10009214
3300000318 assembled WSSedL1CaDRAFT_100067131,WSSedL1CaDRAFT_100067131,"Methyl coenzyme M reductase, alpha subunit",3300000318,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Cattail v1 (*) (MER-FS) (assembled)",1,WSSedL1CaDRAFT_10006713
3300000318 assembled WSSedL1CaDRAFT_1000098413,WSSedL1CaDRAFT_1000098413,"Methyl coenzyme M reductase, alpha subunit",3300000318,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Cattail v1 (*) (MER-FS) (assembled)",1,WSSedL1CaDRAFT_10000984
3300000477 assembled SL_5KL_010_SEDDRAFT_100012387,SL_5KL_010_SEDDRAFT_100012387,"Methyl coenzyme M reductase, alpha subunit",3300000477,"Alkaline sediment microbial communities from Lake Bitter, Kulunda Steppe, Russia - 5KL_010_SED (*) (MER-FS) (assembled)",1,SL_5KL_010_SEDDRAFT_10001238
3300000477 assembled SL_5KL_010_SEDDRAFT_100027737,SL_5KL_010_SEDDRAFT_100027737,"Methyl coenzyme M reductase, alpha subunit",3300000477,"Alkaline sediment microbial communities from Lake Bitter, Kulunda Steppe, Russia - 5KL_010_SED (*) (MER-FS) (assembled)",1,SL_5KL_010_SEDDRAFT_10002773
