,,NCBI Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,NCBI Species,GTDB Domain,GTDB Phylum,GTDB Class,GTDB Order,GTDB Family,GTDB Genus,GTDB Species,Sequencing Depth,Sequencing Method,Sequencing Quality,Sequencing Status,Sequencing Strategy,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity,Genome Size  * assembled,Gene Count  * assembled
12,,*Microbiome,Permanent Draft,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community","Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Even 2009 Newbler Illumina",Baylor College of Medicine,2065487009,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community",,,,,,,,,Illumina,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,54835114,88392
13,,*Microbiome,Permanent Draft,"Permafrost microbial communities from central Alaska, USA","Permafrost microbial communities from central Alaska, USA - Permafrost field sample",DOE Joint Genome Institute  (JGI),2067725009,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Permafrost microbial communities from central Alaska, USA",,,,,,,,,Illumina GAIIx,Level 1: Standard Draft,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Permafrost,,,,,9656814,13277
14,,*Microbiome,Permanent Draft,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are anaerobic and methane-oxidizing","Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 6-9 cm",DOE Joint Genome Institute  (JGI),2077657014,Environmental,Aquatic,Marine,Oceanic,Sediment,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are anaerobic and methane-oxidizing",,,,,,,,,,,Complete,Metagenome,Environmental,Aquatic,Oceanic,Marine,Sediment,Marine sediment,,,,,92521799,194477
15,,*Microbiome,Permanent Draft,"Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading",Wastewater bioreactor microbial communities from Singapore -TA reactor DNA contigs from 4 sample,DOE Joint Genome Institute  (JGI),2081372008,Engineered,Bioremediation,Terephthalate,Wastewater,Bioreactor,"Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading",,,,,,,,,,,Complete,Metagenome,Engineered,Bioremediation,Wastewater,Terephthalate,Bioreactor,Wastewater bioreactor,,,,,35830898,50298
16,,*Microbiome,Permanent Draft,"Oil reservoir microbial communities from Wyoming, USA","Oil reservoir microbial communities from Wyoming, USA - Sample 547",Lawrence Berkeley National Laboratory,2084038002,Environmental,Terrestrial,Oil reservoir,Unclassified,Unclassified,"Oil reservoir microbial communities from Wyoming, USA",,,,,,,,,Illumina,,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Oil reservoir,Unclassified,Oil reservoir,,,,,24137551,27533
17,,*Microbiome,Permanent Draft,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are anaerobic and methane-oxidizing","Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 9-12 cm",DOE Joint Genome Institute  (JGI),2084038021,Environmental,Aquatic,Marine,Oceanic,Sediment,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are anaerobic and methane-oxidizing",,,,,,,,,,,Complete,Metagenome,Environmental,Aquatic,Oceanic,Marine,Sediment,Marine sediment,,,,,90913355,239177
18,,*Microbiome,Permanent Draft,Rumen microbial communities of musk oxen from Alaska,Sample MXSH,National Research Council of Canada,2088090024,Host-associated,Mammals,Digestive system,Stomach,Rumen,Rumen microbial communities of musk oxen from Alaska,,,,,,,,,,,Complete,Metagenome,Host-associated,Mammals,Stomach,Digestive system,Rumen,Rumen,,,,,90948594,245960
19,,*Microbiome,Draft,"Poplar biomass bioreactor microbial communities from Brookhaven National Lab, NY","Poplar biomass bioreactor microbial communities from Brookhaven National Lab, NY - total biomass decay community v1",DOE Joint Genome Institute  (JGI),2124908004,Engineered,Solid waste,Wood,Composting,Bioreactor,"Poplar biomass bioreactor microbial communities from Brookhaven National Lab, NY",,,,,,,,,Sanger,,In progress,Metagenome,Engineered,Solid waste,Composting,Wood,Bioreactor,Poplar biomass bioreactor,,,,,422235325,923816
20,,*Microbiome,Permanent Draft,"Soil microbial communities from permafrost in Bonanza Creek, Alaska","Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 v1 (version 3)",DOE Joint Genome Institute  (JGI),2124908037,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Soil microbial communities from permafrost in Bonanza Creek, Alaska",,,,,,,,,Illumina,,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Soil,,,,,22292634,34167
21,,*Microbiome,Draft,"Soil microbial communities from permafrost in Bonanza Creek, Alaska","Soil microbial communities from permafrost in Bonanza Creek, Alaska, sample from Bog Site B4 v1",DOE Joint Genome Institute  (JGI),2124908039,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Soil microbial communities from permafrost in Bonanza Creek, Alaska",,,,,,,,,Illumina,,Draft,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Soil,,,,,75842057,107055
22,,*Microbiome,Draft,"Soil microbial communities from permafrost in Bonanza Creek, Alaska","Soil microbial communities from permafrost in Bonanza Creek, Alaska, sample from Bog Site B4 v2 (version 2)",DOE Joint Genome Institute  (JGI),2124908040,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Soil microbial communities from permafrost in Bonanza Creek, Alaska",,,,,,,,,Illumina,,Draft,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Soil,,,,,210467264,592834
23,,*Microbiome,Permanent Draft,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are anaerobic and methane-oxidizing","Marine sediment archaeal communities from Santa Barbara Basin, CA, that are methane-oxidizing, sample 12-15 cm",DOE Joint Genome Institute  (JGI),2140918003,Environmental,Aquatic,Marine,Oceanic,Sediment,"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are anaerobic and methane-oxidizing",,,,,,,,,,,Complete,Metagenome,Environmental,Aquatic,Oceanic,Marine,Sediment,Marine sediment,,,,,30097641,70150
24,,*Microbiome,Permanent Draft,"Soil microbial communities from permafrost in Bonanza Creek, Alaska","Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Permafrost Layer P1 v2 (version 2)",DOE Joint Genome Institute  (JGI),2140918006,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Soil microbial communities from permafrost in Bonanza Creek, Alaska",,,,,,,,,"454, Illumina",,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Soil,,,,,124057455,213587
25,,*Microbiome,Permanent Draft,"Soil microbial communities from permafrost in Bonanza Creek, Alaska","Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 v5 (version 5)",DOE Joint Genome Institute  (JGI),2140918009,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Soil microbial communities from permafrost in Bonanza Creek, Alaska",,,,,,,,,Illumina,,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Soil,,,,,7377069,10254
26,,*Microbiome,Permanent Draft,"Soil microbial communities from permafrost in Bonanza Creek, Alaska","Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog_all",DOE Joint Genome Institute  (JGI),2140918024,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Soil microbial communities from permafrost in Bonanza Creek, Alaska",,,,,,,,,Illumina GAIIx,Level 2: High-Quality Draft,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Soil,,,,,181216642,273214
27,,*Microbiome,Permanent Draft,"Soil microbial communities from permafrost in Bonanza Creek, Alaska","Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 v7 (version 7)",DOE Joint Genome Institute  (JGI),2140918025,Environmental,Terrestrial,Soil,Unclassified,Permafrost,"Soil microbial communities from permafrost in Bonanza Creek, Alaska",,,,,,,,,Illumina,,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Permafrost,Soil,,,,,168462295,243805
28,,*Microbiome,Draft,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA","Microbial communities from bioreactor (seeded with anoxic lake sediment) at LBNL, California, USA - Biofuel metagenome 2",DOE Joint Genome Institute  (JGI),2156126002,Engineered,Bioreactor,Anaerobic,Unclassified,Unclassified,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA",,,,,,,,,Illumina GAIIx,,In progress,Metagenome,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,,394339794,559540
29,,*Microbiome,Permanent Draft,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass","Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass - Feedstock-adapted consortia SG + Fe",DOE Joint Genome Institute  (JGI),2162886008,Environmental,Terrestrial,Soil,Unclassified,Tropical rainforest,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass",,,,,,,,,,,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Tropical rainforest,Soil,,,,,154120208,193491
30,,*Microbiome,Draft,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA","Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 3 version 1 (version 2)",DOE Joint Genome Institute  (JGI),2166559024,Engineered,Bioreactor,Anaerobic,Unclassified,Unclassified,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA",,,,,,,,,Illumina,,In progress,Metagenome,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,,144010113,273185
31,,*Microbiome,Permanent Draft,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass","Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass - feedstock-adapted consortia SG only",DOE Joint Genome Institute  (JGI),2189573022,Environmental,Terrestrial,Soil,Unclassified,Tropical rainforest,"Soil microbial communities from Puerto Rico rain forest, that decompose switchgrass",,,,,,,,,Illumina GAIIx,,Complete,Metagenome,Environmental,Terrestrial,Unclassified,Soil,Tropical rainforest,Soil,,,,,152660070,197271
32,,*Microbiome,Permanent Draft,"Soil microbial community from bioreactor at Alameda Naval Air Station, CA, contaminated with Chloroethene","Soil microbial communities from bioreactor at Alameda Naval Air Station, CA, contaminated with Chloroethene -196",DOE Joint Genome Institute  (JGI),2199034002,Engineered,Bioremediation,Tetrachloroethylene and derivatives,Chloroethene,Bioreactor,"Soil microbial community from bioreactor at Alameda Naval Air Station, CA, contaminated with Chloroethene",,,,,,,,,"454 GS FLX Titanium, Sanger",Level 1: Standard Draft,Complete,Metagenome,Engineered,Bioremediation,Chloroethene,Tetrachloroethylene and derivatives,Bioreactor,Soil from Bioreactor,,,,,30615378,43132
33,,*Microbiome,Permanent Draft,"Compost microbial communities from Sao Paulo Zoo, Brazil","Compost microbial communities from Sao Paulo Zoo, Brazil - ZC2","University of Sao Paulo, Virginia Bioinformatics Institute",2199352030,Engineered,Solid waste,Zoo waste,Composting,Unclassified,"Compost microbial communities from Sao Paulo Zoo, Brazil",,,,,,,,,454 GS20,Level 1: Standard Draft,Complete,Metagenome,Engineered,Solid waste,Composting,Zoo waste,Unclassified,Compost,,,,,433746055,1264263
34,,*Microbiome,Draft,Passalidae beetle gut microbial communities from Costa Rica,Passalidae beetle gut microbial communities from Costa Rica -Larvae (2ML+2BL),DOE Joint Genome Institute  (JGI),2225789003,Host-associated,Arthropoda: Insects,Larva,Gut,Unclassified,Passalidae beetle gut microbial communities from Costa Rica,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut,,,,,52750108,125251
35,,*Microbiome,Draft,Passalidae beetle gut microbial communities from Costa Rica,Passalidae beetle gut microbial communities from Costa Rica -Larvae (4BL+4ML+4MSL),DOE Joint Genome Institute  (JGI),2225789004,Host-associated,Arthropoda: Insects,Larva,Gut,Unclassified,Passalidae beetle gut microbial communities from Costa Rica,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut,,,,,402413667,832561
36,,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada",McGill University,2228664010,Engineered,Wastewater,Industrial wastewater,Petrochemical,Unclassified,Hydrocarbon resource environments microbial communities from Canada and USA,,,,,,,,,"454 GS FLX Titanium, Sanger",Level 1: Standard Draft,Complete,Metagenome,Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,,87534765,226696
37,,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,Tailings pond microbial communities from Northern Alberta -Short chain hydrocarbon degrading methanogenic enrichment culture SCADC:,McGill University,2236876020,Engineered,Built environment,Tailings pond,Petrochemical,Wastewater,Hydrocarbon resource environments microbial communities from Canada and USA,,,,,,,,,454 GS FLX Titanium,,Complete,Metagenome,Engineered,Built environment,Petrochemical,Tailings pond,Wastewater,Hydrocarbon resource environments,,,7.26,,124936635,345540
38,,*Microbiome,Permanent Draft,Hydrocarbon resource environments microbial communities from Canada and USA,"Petrochemical wastewater microbial community from Syncrude tailings pond, Wood Buffalo, Alberta, Canada",McGill University,3300000032,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Hydrocarbon resource environments microbial communities from Canada and USA,,,,,,,,,"454 GS FLX Titanium, Illumina HiSeq 2000, Sanger",Level 1: Standard Draft,Complete,Metagenome,Engineered,Lab enrichment,Anaerobic media,Defined media,Unclassified,Hydrocarbon resource environments,,,,,377302904,749231
39,,*Microbiome,Draft,Passalidae beetle gut microbial communities from Costa Rica,Passalidae beetle gut microbial communities from Costa Rica -Larvae (1ML+1BSL),DOE Joint Genome Institute  (JGI),3300000062,Host-associated,Arthropoda: Insects,Larva,Gut,Unclassified,Passalidae beetle gut microbial communities from Costa Rica,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut,,,,,511653920,1063212
40,,*Microbiome,Draft,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Tule",DOE Joint Genome Institute  (JGI),3300000094,Environmental,Aquatic,Marine,Wetlands,Sediment,Wetland microbial communities from Twitchell Island in the Sacramento Delta,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,,129333279,362721
41,,*Microbiome,Draft,Passalidae beetle gut microbial communities from Costa Rica,Passalidae beetle gut microbial communities from Costa Rica -Larvae (5ML+5BL) v1,DOE Joint Genome Institute  (JGI),3300000103,Host-associated,Arthropoda: Insects,Larva,Gut,Unclassified,Passalidae beetle gut microbial communities from Costa Rica,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut,,,,,77567223,206349
42,,*Microbiome,Draft,Passalidae beetle gut microbial communities from Costa Rica,Passalidae beetle gut microbial communities from Costa Rica -Larvae (3ML+3BL) v1,DOE Joint Genome Institute  (JGI),3300000114,Host-associated,Arthropoda: Insects,Larva,Gut,Unclassified,Passalidae beetle gut microbial communities from Costa Rica,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Host-associated,Arthropoda: Insects,Gut,Larva,Unclassified,Passalidae beetle gut,,,,,804003313,1802558
43,,*Microbiome,Draft,"Groundwater microbial communities from subsurface biofilms in sulfidic aquifier in Frasassi Gorge, Italy","Groundwater microbial communities from subsurface biofilms in sulfidic aquifier in Frasassi Gorge, Italy, sample from two redox zones- GS10_10",DOE Joint Genome Institute  (JGI),3300000230,Environmental,Aquatic,Freshwater,Groundwater,Cave water,"Groundwater microbial communities from subsurface biofilms in sulfidic aquifier in Frasassi Gorge, Italy",,,,,,,,,Illumina HiSeq 2000,,In progress,Metagenome,Environmental,Aquatic,Groundwater,Freshwater,Cave water,Groundwater,,,,,581077747,1209977
44,,*Microbiome,Permanent Draft,"Human fecal microbial communities from University College Cork, Ireland, of the elderly Irish population","Human fecal microbial communities from Cork, Ireland - EM238","Beijing Genomics Institute (BGI), Macrogen",3300000283,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from University College Cork, Ireland, of the elderly Irish population",,,,,,,,,Illumina HiSeq 2000,,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,40876228,52998
45,,*Microbiome,Permanent Draft,Chicken cecum microbial communities from Ireland,CECUM_8-3,University College Cork,3300000302,Host-associated,Birds,Digestive system,Large intestine,Ceca,Chicken cecum microbial communities from Ireland,,,,,,,,,Illumina,,Complete,Metagenome,Host-associated,Birds,Large intestine,Digestive system,Ceca,Chicken Cecum,,,,,62373868,83381
46,,*Microbiome,Permanent Draft,Chicken cecum microbial communities from Ireland,FAECES_0-135,University College Cork,3300000304,Host-associated,Birds,Digestive system,Large intestine,Ceca,Chicken cecum microbial communities from Ireland,,,,,,,,,Illumina,,Complete,Metagenome,Host-associated,Birds,Large intestine,Digestive system,Ceca,Chicken Cecum,,,,,63911179,81117
47,,*Microbiome,Draft,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk v2",DOE Joint Genome Institute  (JGI),3300000309,Environmental,Aquatic,Marine,Wetlands,Sediment,Wetland microbial communities from Twitchell Island in the Sacramento Delta,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,,208340005,570282
48,,*Microbiome,Draft,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site A1 Bulk v1 (version 2)",DOE Joint Genome Institute  (JGI),3300000310,Environmental,Aquatic,Marine,Wetlands,Sediment,Wetland microbial communities from Twitchell Island in the Sacramento Delta,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,,120209763,331296
49,,*Microbiome,Draft,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Cattail",DOE Joint Genome Institute  (JGI),3300000313,Environmental,Aquatic,Marine,Wetlands,Sediment,Wetland microbial communities from Twitchell Island in the Sacramento Delta,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,,291270262,747866
50,,*Microbiome,Draft,Wetland microbial communities from Twitchell Island in the Sacramento Delta,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Cattail v1",DOE Joint Genome Institute  (JGI),3300000318,Environmental,Aquatic,Marine,Wetlands,Sediment,Wetland microbial communities from Twitchell Island in the Sacramento Delta,,,,,,,,,Illumina HiSeq 2000,,Draft,Metagenome,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,,296519018,679305
51,,*Microbiome,Draft,Alkaline sediment microbial communities from Soda lakes and Soda Solonchak soils,"Alkaline sediment microbial communities from Lake Bitter, Kulunda Steppe, Russia - 5KL_010_SED",DOE Joint Genome Institute  (JGI),3300000477,Environmental,Aquatic,Non-marine Saline and Alkaline,Alkaline,Sediment,Alkaline sediment microbial communities from Soda lakes and Soda Solonchak soils,,,,,,,,,Illumina HiSeq 2000,,In progress,Metagenome,Environmental,Aquatic,Alkaline,Non-marine Saline and Alkaline,Sediment,Alkaline sediment,,,,,312269109,692367
52,,*Microbiome,Permanent Draft,"Anaerobic digester microbial communities from Soeholt, Denmark","Anaerobic digester microbial communities from Northern Denmark, sample from West Aalborg sludge",Aalborg University,3300000494,Engineered,Wastewater,Nutrient removal,Dissolved organics (anaerobic),Activated sludge,"Anaerobic digester microbial communities from Soeholt, Denmark",,,,,,,,,Illumina HiSeq 2000,,Complete,Metagenome,Engineered,Wastewater,Dissolved organics (anaerobic),Nutrient removal,Activated sludge,Anaerobic digester,,,,,39999792,56166
53,,*Microbiome,Permanent Draft,"Salt marsh microbial communities from Little Sippewissett, Woods Hole, MA that are anoxygenic and photosynthetic","Microbial Communities from Little Sippewissett Salt Marsh, Woods Hole, MA that are anoxygenic and photosynthetic, Marine photosynthetic community that grows at 940nm",Marine Biological Laboratory,3300000504,Environmental,Aquatic,Marine,Intertidal zone,Salt marsh,"Salt marsh microbial communities from Little Sippewissett, Woods Hole, MA that are anoxygenic and photosynthetic",,,,,,,,,Illumina,,Complete,Metagenome,Environmental,Aquatic,Intertidal zone,Marine,Salt marsh,Salt Marsh,,,,,84361702,163520
